SK_ID_CURR,inst_payments_NUM_INSTALMENT_NUMBER,prev_app_NFLAG_INSURED_ON_APPROVAL,REGION_RATING_CLIENT_W_CITY,bureau_DAYS_CREDIT_UPDATE,bureau_AMT_ANNUITY,bureau_AMT_CREDIT_SUM,prev_app_DAYS_LAST_DUE_1ST_VERSION,AMT_ANNUITY,DAYS_EMPLOYED,HOUSETYPE_MODE,DAYS_BIRTH,bureau_DAYS_CREDIT,credit_bal_AMT_BALANCE,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_2,ELEVATORS_AVG,FLAG_OWN_REALTY,EMERGENCYSTATE_MODE,bureau_CREDIT_DAY_OVERDUE,FLOORSMAX_AVG,NAME_CONTRACT_TYPE,REGION_RATING_CLIENT,prev_app_DAYS_FIRST_DRAWING,REG_CITY_NOT_LIVE_CITY,prev_app_CNT_PAYMENT,DAYS_LAST_PHONE_CHANGE,NAME_HOUSING_TYPE,CODE_GENDER,HOUR_APPR_PROCESS_START,credit_bal_CNT_DRAWINGS_CURRENT,FLAG_EMP_PHONE,bureau_AMT_CREDIT_SUM_DEBT,FLAG_DOCUMENT_8,AMT_CREDIT,prev_app_DAYS_DECISION,EXT_SOURCE_1,inst_payments_NUM_INSTALMENT_VERSION,FLAG_PHONE,WEEKDAY_APPR_PROCESS_START,bureau_AMT_CREDIT_SUM_OVERDUE,prev_app_HOUR_APPR_PROCESS_START,AMT_REQ_CREDIT_BUREAU_QRT,ORGANIZATION_TYPE,prev_app_AMT_DOWN_PAYMENT,FLAG_DOCUMENT_3,FLAG_DOCUMENT_6,credit_bal_MONTHS_BALANCE,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,credit_bal_AMT_DRAWINGS_ATM_CURRENT,TOTALAREA_MODE,DEF_60_CNT_SOCIAL_CIRCLE,credit_bal_is_fraud,NAME_INCOME_TYPE,EXT_SOURCE_3,REG_CITY_NOT_WORK_CITY,credit_bal_CNT_DRAWINGS_ATM_CURRENT,FLAG_EMAIL,REGION_POPULATION_RELATIVE,NAME_FAMILY_STATUS,OCCUPATION_TYPE,POS_SK_DPD_DEF,credit_bal_anomaly_score,CNT_CHILDREN,credit_bal_AMT_DRAWINGS_CURRENT,prev_app_AMT_ANNUITY,prev_app_DAYS_FIRST_DUE,NONLIVINGAPARTMENTS_AVG,OWN_CAR_AGE
384575,6.103448275862069,0.0,2,-483.85714285714283,12435.0,138610.92857142858,-1804.5,52641.0,-762,,-13297,-1142.857142857143,,1,0.6048943383603742,,0,,0.0,,Cash loans,2,365243.0,0,5.6,-2.0,House / apartment,M,11,,1,39569.78571428572,0,465457.5,-1642.6,0.6758780692916837,1.0,0,THURSDAY,0.0,13.8,0.0,Business Entity Type 3,3321.0,1,0,,207000.0,Secondary / secondary special,,,0.0,,Commercial associate,0.0005272652387098,1,,0,0.00963,Married,Sales staff,0.0,,2,,7508.5830000000005,-2104.5,,19.0
214010,10.557142857142857,0.5555555555555556,3,-265.4,,866173.5,39567.333333333336,48946.5,-1141,block of flats,-14778,-841.6,26577.436875,0,0.4253505221468029,0.08,1,0.0,0.0,0.4167,Cash loans,3,324604.3333333333,0,9.916666666666666,-1071.0,House / apartment,F,10,1.2916666666666667,1,0.0,0,1281712.5,-1215.75,0.4308270680689849,0.6142857142857143,0,THURSDAY,0.0,8.416666666666666,0.0,Business Entity Type 3,9150.75,1,0,-13.5,247500.0,Higher education,39600.0,0.0754,0.0,0.20833333333333334,Commercial associate,0.7121551551910698,0,0.875,1,0.006852,Single / not married,Managers,0.0,0.08062967479465137,0,30495.481874999998,39029.19,-1277.3333333333333,0.0058,11.0
142232,4.894736842105263,0.0,2,-408.1666666666667,12456.0,467347.5,-643.0,39109.5,-639,,-17907,-859.1666666666666,,0,0.5317599965307688,,0,,0.0,,Cash loans,2,365243.0,0,14.0,-1435.0,House / apartment,F,16,,1,238527.75,0,495000.0,-621.4285714285714,0.5272390876896329,1.0,0,TUESDAY,0.0,14.571428571428571,0.0,Self-employed,3082.725,1,0,,202500.0,Secondary / secondary special,,,0.0,,Working,0.2079641743053816,0,,0,0.035792,Married,Sales staff,0.0,,0,,19190.235,-883.0,,4.0
389171,6.923076923076923,0.0,1,-1776.0,,126258.525,-1639.0,24939.0,-6982,,-19626,-2421.0,,0,0.6935206274920988,0.16,1,0.0,0.0,0.625,Cash loans,1,365243.0,0,12.0,-2000.0,House / apartment,F,14,,1,0.0,0,254700.0,-2000.0,,1.0,0,FRIDAY,0.0,15.0,0.0,Business Entity Type 3,10431.0,1,0,,247500.0,Secondary / secondary special,,0.1285,0.0,,State servant,0.6144143775673561,0,,0,0.04622,Widow,High skill tech staff,0.0,,0,,11223.09,-1969.0,,
283617,5.689655172413793,0.6,2,-1044.0,,453525.0,72449.4,15862.5,-1105,block of flats,-20327,-1215.6666666666667,0.0,0,0.5606898594049499,0.0,1,0.0,0.0,0.1667,Cash loans,2,365243.0,0,7.5,-173.0,House / apartment,M,11,0.0,1,162492.0,0,308133.0,-1050.7777777777778,0.6548815043678321,1.103448275862069,0,WEDNESDAY,0.0,13.777777777777779,0.0,Business Entity Type 3,1237.5,1,0,-13.0,112500.0,Secondary / secondary special,,0.0765,0.0,0.0,Working,0.6363761710860439,0,,0,0.01885,Single / not married,Laborers,0.0,0.0916757083098288,0,0.0,15752.289375,72221.4,,
362171,7.038461538461538,0.5,2,-57.0,15142.5,123217.5,-176.5,16456.5,365243,,-19130,-216.66666666666666,,0,0.5191266804311161,,1,,70.33333333333333,,Cash loans,2,365243.0,0,18.0,-1011.0,House / apartment,M,6,,0,34645.5,0,152820.0,-717.0,,1.0,1,THURSDAY,105.0,8.0,0.0,XNA,27000.0,1,0,,85500.0,Secondary / secondary special,,,0.0,,Pensioner,0.1047946227497676,0,,0,0.006629,Married,,0.0,,0,,14161.05,-686.5,,
180689,,,2,-902.0,,55481.805,,24750.0,-345,,-15722,-1072.5,,1,0.5479626352655883,,0,,0.0,,Cash loans,2,,1,,-440.0,House / apartment,F,12,,1,0.0,0,900000.0,,0.7140669333212697,,1,WEDNESDAY,0.0,,2.0,Business Entity Type 3,,1,0,,112500.0,Secondary / secondary special,,,0.0,,Commercial associate,,0,,0,0.015221,Married,,,,1,,,,,
310328,,,2,-5.0,18751.5,517500.0,,33120.0,-260,block of flats,-10801,-608.5,,0,0.0125875656953968,0.0,1,0.0,0.0,0.1667,Cash loans,2,,0,,-222.0,House / apartment,M,10,,1,338224.5,0,810000.0,,,,0,FRIDAY,0.0,,0.0,Trade: type 3,,0,0,,141606.0,Secondary / secondary special,,0.0901,0.0,,Commercial associate,0.4902575124990026,0,,0,0.018801,Single / not married,Laborers,,,0,,,,0.0,12.0
233043,6.766666666666667,0.6,2,-791.5714285714286,5146.425,207969.44785714286,-1170.6,34443.0,365243,,-23516,-1480.5714285714287,,0,0.077534911185021,,1,,0.0,,Cash loans,2,365243.0,0,12.833333333333334,0.0,House / apartment,F,8,,0,80464.905,0,781920.0,-969.3636363636364,,1.0166666666666666,0,SATURDAY,0.0,11.272727272727273,0.0,XNA,9661.5,1,0,,130500.0,Secondary / secondary special,,,0.0,,Pensioner,0.633031641417419,0,,0,0.0228,Married,,0.0,,0,,17748.015,-1530.6,,
232220,4.545454545454546,0.6666666666666666,2,,,,-107.0,35824.5,-649,block of flats,-8755,,,0,0.7400816968755699,0.0,1,0.0,,0.1667,Cash loans,2,365243.0,0,8.8,0.0,House / apartment,F,14,,1,,0,900000.0,-373.1818181818182,,1.1363636363636365,0,WEDNESDAY,,13.909090909090908,,Trade: type 7,0.0,1,0,,99000.0,Secondary / secondary special,,0.0478,0.0,,Working,,0,,0,0.026392,Separated,Laborers,0.0,,1,,16129.079999999998,-417.0,,
134561,3.0,0.0,3,-733.5,5946.75,175500.0,-534.5,17077.5,-280,,-13280,-1818.0,,0,0.4127344161068856,,0,,0.0,,Cash loans,3,365243.0,0,9.333333333333334,-956.0,House / apartment,F,9,,1,47686.5,0,331920.0,-819.0,0.3457171951791896,1.125,0,TUESDAY,0.0,6.333333333333333,0.0,Self-employed,0.0,1,0,,67500.0,Secondary / secondary special,,,0.0,,Commercial associate,0.6397075677637197,0,,0,0.006305,Married,Sales staff,0.0,,4,,15793.065,-774.5,,
120952,4.517241379310345,0.0,2,-400.3333333333333,4500.0,22500.0,-71.66666666666667,11074.5,-809,,-8438,-473.6666666666667,,0,0.4530704545682325,,1,,0.0,,Cash loans,2,365243.0,0,7.5,-555.0,With parents,M,15,,1,25117.5,0,225000.0,-376.5,,1.2758620689655173,0,SUNDAY,0.0,16.0,0.0,Business Entity Type 3,2250.0,1,0,,135000.0,Secondary / secondary special,,,1.0,,Commercial associate,0.2431864804420123,0,,0,0.0228,Married,Laborers,0.038461538461538464,,0,,8283.96,-301.6666666666667,,2.0
